timestamp,test,cross_track error
1744818723.5764546,long,0.0
1744818723.601785,long,0.0
1744818723.618359,long,0.0
1744818723.6432014,long,0.0
1744818723.6593487,long,0.0
1744818723.677176,long,0.0
1744818723.7088013,long,0.0
1744818723.7174897,long,0.0
1744818723.7456863,long,0.0
1744818723.7578058,long,0.0
1744818723.7852328,long,0.0
1744818723.7968714,long,0.0
1744818723.818579,long,0.0
1744818723.8376887,long,0.0
1744818723.8592467,long,0.0
1744818723.8763576,long,0.0
1744818723.8963673,long,0.0
1744818723.9167473,long,0.0
1744818723.9364529,long,0.0
1744818723.9586444,long,0.0
1744818723.9776328,long,0.0
1744818723.9968824,long,0.0
1744818724.019244,long,0.0
1744818724.037638,long,0.0
1744818724.0577664,long,0.0
1744818724.0772135,long,0.0
1744818724.0964375,long,0.0
1744818724.1176553,long,0.0
1744818724.1370726,long,0.0
1744818724.1584635,long,0.0
1744818724.177949,long,0.0
1744818724.196695,long,0.0
1744818724.2163126,long,0.0
1744818724.2372012,long,0.0
1744818724.256703,long,0.0
1744818724.2763011,long,0.0
1744818724.2962952,long,0.0
1744818724.3165781,long,0.0
1744818724.337711,long,0.0
1744818724.3578596,long,0.0
1744818724.376663,long,0.0
1744818724.3967757,long,0.0
1744818724.416646,long,0.0
1744818724.4376805,long,0.0
1744818724.4563046,long,0.0
1744818724.4767992,long,0.0
1744818724.4973829,long,0.0
1744818724.5165617,long,0.0
1744818724.5364788,long,0.0
1744818724.560319,long,0.0
1744818724.576442,long,0.0
1744818724.5969763,long,0.0
1744818724.6168487,long,0.0
1744818724.6366472,long,0.0
1744818724.6581657,long,0.0
1744818724.676354,long,0.0
1744818724.6965392,long,0.0
1744818724.716821,long,0.0
1744818724.7368903,long,0.0
1744818724.756359,long,0.0
1744818724.7763224,long,0.0
1744818724.7957065,long,0.0
1744818724.8174584,long,0.0
1744818724.8364413,long,0.0
1744818724.8563704,long,0.0
1744818724.8757346,long,0.0
1744818724.8962154,long,0.0
1744818724.9164634,long,0.0
1744818724.9363317,long,0.0
1744818724.9571474,long,0.0
1744818724.9781907,long,0.0
